character_chosen,card_name,n_offered,pick_rate,win_rate_lift,floors_gained_lift
IRONCLAD,Protect,2269,0.2622300572939621,-0.0697489031454876,-0.1650281618023559
THE_SILENT,Master of Strategy+1,1347,0.5686711210096511,0.11128737254126542,1.075935970663707
IRONCLAD,Uppercut,636529,0.29037011667967993,-0.033696311791612504,3.2188630261336186
IRONCLAD,Armaments,1816622,0.2811245267314829,-0.060223450096907105,1.7833713676774465
WATCHER,JustLucky,896677,0.13464380150265925,-0.06172387676571041,-0.15794358810408582
IRONCLAD,Double Tap,494221,0.4402362505842528,-0.03401152205326988,-0.0118060943522309
DEFECT,Redo+1,266409,0.4307399524790829,-0.09881540853041748,0.25483257570381923
DEFECT,Sunder,390613,0.3219682908658954,-0.057493712154063195,3.222134147487143
THE_SILENT,Panache,15393,0.6109270447606054,0.03128106547811782,-2.1355019471043555
THE_SILENT,Secret Technique+1,1234,0.47974068071312803,0.018423212932558775,0.18881556790435283
IRONCLAD,Conserve Battery,2285,0.39474835886214443,-0.14982773077582878,0.2568879632791603
THE_SILENT,Corpse Explosion+1,20388,0.5972140474789092,-0.06204499136867747,2.8376400869724954
IRONCLAD,Headbutt+1,344367,0.23929702904169098,-0.08697284281527506,0.9229327588556657
IRONCLAD,Cleave+1,345530,0.2906607241049981,-0.1492807516704866,1.2730550623075771
DEFECT,Multi-Cast,324657,0.20511801686087164,-0.05449472539808234,-1.7703825219698999
DEFECT,Coolheaded,1377134,0.28884625606513237,0.0026734722381316356,1.8539851612686924
THE_SILENT,Corpse Explosion,300753,0.6235149774067091,-0.05470322833412242,1.8616919843257769
DEFECT,Creative AI+1,21280,0.6132048872180451,-0.02847196541574054,-0.8868727546653936
WATCHER,WindmillStrike+1,65241,0.34038411428396254,-0.11337148167529287,0.31519926837944645
IRONCLAD,Reaper+1,32496,0.5658234859675036,-0.0209792622090455,0.837947069468612
THE_SILENT,Reflex,537642,0.10316344333218015,-0.006916181216279127,-2.671508885139122
IRONCLAD,Flex+1,345852,0.4147699015763968,-0.09406831915269998,0.44463678659771766
DEFECT,Gash+1,261639,0.3056807280260206,-0.06629159493117603,0.5143690987406906
WATCHER,WreathOfFlame,313299,0.10257932518137626,-0.08502832888707512,-2.6284082596949396
DEFECT,Reprogram+1,84000,0.05925,-0.10830708850400922,-1.5805203537655093
DEFECT,Machine Learning+1,21208,0.44289890607317994,0.007108173719915234,-0.006257629025569145
THE_SILENT,The Bomb,13702,0.3803094438768063,-0.0980063304749669,0.8284548004037653
THE_SILENT,Transmutation,13238,0.20003021604471974,-0.020632886294714603,-4.560593916623162
THE_SILENT,Jack Of All Trades,15615,0.27134165866154336,-0.08660542335757365,1.0021577069279726
IRONCLAD,Flying Knee,2335,0.2929336188436831,-0.13252467935435194,1.156863995239462
THE_SILENT,Setup,383269,0.059916142448254356,-0.07349099648614149,-2.6537064041387595
IRONCLAD,Inflame+1,118862,0.6250778213390318,-0.07347842858794795,1.6684446048801913
IRONCLAD,Burning Pact+1,120694,0.2521997779508509,0.044991642427302525,0.6910246186057858
THE_SILENT,Heel Hook+1,100978,0.20137059557527381,-0.07425699415563863,0.8647068059434417
WATCHER,ConjureBlade+1,16033,0.2940185866650034,-0.07365162177142126,-1.4186231859857124
DEFECT,Metamorphosis,13263,0.3138807208022318,-0.040367840182877424,-1.4777943579360802
IRONCLAD,Chrysalis+1,1486,0.3768506056527591,-0.05520286948472686,-0.46260799136069153
IRONCLAD,Brutality+1,27406,0.17726045391520104,-0.0007143810235159531,-0.5127737556795715
DEFECT,Steam,1376508,0.12197386430009852,-0.03163336476899936,0.5081629134542993
