character_chosen,card_name,n,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,was_picked_pvalue,was_picked_qvalue,pseudo_r2,auc
WATCHER,EmptyMind,310706,1.1728906073494358,1.1444416407257514,1.2020467692316241,4.070600292663952e-37,2.790371373458839e-36,-inf,0.7621498196371261
WATCHER,Wallop,309118,1.1651598090573836,1.141039029117609,1.1897904856878552,1.6000657385195846e-46,1.1767370878317873e-45,-inf,0.750424390351452
WATCHER,Adaptation+1,64084,1.1608370217407178,1.1198092887864257,1.2033679346455823,4.524790388380704e-16,2.4333073735093327e-15,-inf,0.7746628806688904
WATCHER,Violence,9159,1.1564115179628853,1.022825541274774,1.3074444711368163,0.020323745588147365,0.04960333950689593,0.36430348154379133,0.8815869596835917
WATCHER,Sanctity,310276,1.1468349369078608,1.1185650965732263,1.1758192496276914,5.397435669612574e-27,3.3023979675508334e-26,0.0979770200567246,0.7136811643678932
WATCHER,TalkToTheHand+1,65334,1.1343061314259173,1.092798958802219,1.177389847809414,3.4571529296246536e-11,1.6406702257898195e-10,0.18050272263951117,0.7788546180174447
WATCHER,CutThroughFate,885086,1.1322724993038185,1.1159962565643944,1.1487861228374472,1.8671957282096604e-63,1.626290867589669e-62,0.10018268794532703,0.7151874234403847
WATCHER,FearNoEvil,310172,1.105445276949405,1.08284739747539,1.1285147502582604,1.852594748620114e-21,1.0715137855951231e-20,0.0950840149857991,0.7083181191268588
WATCHER,CrushJoints,883382,0.8986353410115343,0.880387536784736,0.9172613677201225,1.773038756534259e-24,1.0614337138174096e-23,0.1019156878794919,0.7175859729405529
WATCHER,Evaluate+1,185681,0.8905140889674478,0.8699348631849314,0.9115801380188434,2.4664001343307937e-22,1.4339986121331655e-21,-inf,0.7776001911525917
WATCHER,Protect+1,185322,0.8876963818434626,0.8670473091463973,0.908837220328566,3.4042310475567685e-23,1.9949332867080693e-22,-inf,0.7793735555593464
WATCHER,BowlingBash,887155,0.8854755787118992,0.869307996990667,0.9019438486812754,2.7905660939103914e-38,1.949008583199679e-37,0.10328308460241664,0.7186074902795058
WATCHER,Vengeance+1,65027,0.8853645363165678,0.8454371750926016,0.9271775422948403,2.3235665942121768e-07,1.034196674498045e-06,0.18752549074091385,0.7844947697050059
WATCHER,Protect,885619,0.8820506985689154,0.8679863426745238,0.8963429452687253,7.210205714636852e-53,5.63868552542551e-52,0.10026643682204128,0.7159509456302369
WATCHER,LikeWater+1,63638,0.8739944852908098,0.8412061618178013,0.9080608238390377,5.074463072299164e-12,2.4661668454215413e-11,0.18285133701154,0.7886364179043972
WATCHER,Discovery,10082,0.8722681729772463,0.7860195188694338,0.9679807527978816,0.0100942049231128,0.027373906146805287,0.2395661561562974,0.8126960275825306
WATCHER,Blind,11161,0.8705780123706138,0.7796137976241706,0.9721558006449412,0.013836108158337931,0.03569105251994024,0.284065275512129,0.8377664210157242
WATCHER,DeceiveReality+1,64951,0.8702654891352194,0.8370615864618183,0.9047864981847532,2.5381644658345096e-12,1.2471821412872667e-11,0.1752799422022725,0.7760784751011014
WATCHER,ThirdEye,885640,0.8651933198657112,0.8502623673654367,0.8803864659560141,9.355752346142599e-60,7.782444180068431e-59,0.10194938799175246,0.7172555422200207
WATCHER,DeceiveReality,309778,0.8609117401101184,0.8407310604222501,0.8815768313438856,3.580990101522356e-35,2.381251202239866e-34,0.09717904597126115,0.7107371895968679
WATCHER,Evaluate,885818,0.84799900729871,0.8334048729725622,0.862848706193337,2.4387141841561416e-77,2.304844341706719e-76,0.10120346653260892,0.7170437634179342
WATCHER,Crescendo,885004,0.8462020486660549,0.8316109890106914,0.8610491162682585,5.380308594258953e-79,5.106694610191938e-78,0.10318118666953946,0.7189508739842791
WATCHER,Mayhem,9327,0.8388660720835354,0.7324747433525176,0.9607106501339004,0.01111015438861598,0.029551680116306697,0.3856902011049388,0.8938342762526765
WATCHER,Vengeance,309903,0.8377997762860684,0.8143349806056894,0.8619407023666327,2.7331393403801487e-34,1.795947477806009e-33,-inf,0.7598112287130531
WATCHER,Magnetism,8836,0.8374225654387345,0.7245432317155676,0.9678877980069107,0.0163148703506858,0.04134792403136695,0.37087990933223325,0.8891367329023546
WATCHER,SignatureMove,310068,0.8325471998655637,0.8093402919005791,0.8564195393958428,5.503538025150616e-37,3.761033216572159e-36,-inf,0.752695632876133
WATCHER,LessonLearned+1,16463,0.8322248742378037,0.7736015807636085,0.8952906231350725,8.317305009640452e-07,3.615016521802631e-06,0.08452407569859877,0.7217260949403558
WATCHER,SandsOfTime,310200,0.832223282702891,0.814117261472068,0.8507319830320768,3.4366452841835317e-60,2.869469615102114e-59,0.09808799591901707,0.7091332618527068
WATCHER,CrushJoints+1,186230,0.8315603388538065,0.8089901677297349,0.8547601994906684,1.9957310886760745e-39,1.4071488088728767e-38,-inf,0.7778489399104175
WATCHER,Indignation,310207,0.8308076052828862,0.8089869925006662,0.8532167802380526,2.0263002375721907e-42,1.4470780796295293e-41,0.14694781800108048,0.76043178138482
WATCHER,FlurryOfBlows+1,186178,0.8307042449408767,0.8128128325959892,0.8489894781296999,1.3848360938872002e-62,1.1967785854176933e-61,-inf,0.7774616591953765
WATCHER,DeusExMachina+1,17058,0.8301784792761208,0.7760320259778497,0.8881029189288692,6.360128830213176e-08,2.865283191055469e-07,0.08654771713635967,0.6967200346939937
WATCHER,JustLucky+1,185201,0.8299878056146343,0.8064320693039244,0.8542316007640987,7.130137871683173e-37,4.857679819941204e-36,0.17928425625912292,0.7797873893335339
WATCHER,Crescendo+1,186355,0.8241011971487202,0.8047244781819762,0.8439444823105976,3.547404466321881e-57,2.8966122498900358e-56,-inf,0.750322050831749
WATCHER,Collect+1,65033,0.8207356605273245,0.7855159639556539,0.8575344809914669,1.0655669206058926e-18,5.976323562287089e-18,0.09056328718561912,0.7063837979429133
WATCHER,Blasphemy+1,14600,0.8201127882567916,0.7507194456252608,0.895920559113991,1.1004972291657649e-05,4.411921202124845e-05,0.08406354172607378,0.716350676930767
WATCHER,Pray+1,65466,0.8194604958109514,0.7863958734058591,0.8539153458250167,2.6610899317258197e-21,1.5351378541202716e-20,0.18267409542096613,0.7824556813622767
